alpha|theta
-14.9|0
-14.8|2
-14.7|3
-14.6|4
-14.5|5
-14.4|6
-14.3|7
-14.2|8
-14.1|9
-14.0|10
-13.9|11
-13.8|12
-13.7|13
-13.6|14
-13.5|15
-13.4|16
-13.3|17
-13.2|18
-13.1|18
-13.0|19
-12.9|20
-12.8|21
-12.7|21
-12.6|22
-12.5|23
-12.4|24
-12.3|24
-12.2|25
-12.1|26
-12.0|27
-11.9|27
-11.8|28
-11.7|29
-11.6|29
-11.5|30
-11.4|31
-11.3|31
-11.2|32
-11.1|33
-11.0|33
-10.9|34
-10.8|35
-10.7|35
-10.6|36
-10.5|36
-10.4|37
-10.3|38
-10.2|38
-10.1|39
-10.0|39
-9.9|40
-9.8|41
-9.7|41
-9.6|42
-9.5|42
-9.4|43
-9.3|44
-9.2|44
-9.1|45
-9.0|45
-8.9|46
-8.8|46
-8.7|47
-8.6|48
-8.5|48
-8.4|49
-8.3|49
-8.2|50
-8.1|50
-8.0|51
-7.9|51
-7.8|52
-7.7|52
-7.6|53
-7.5|53
-7.4|54
-7.3|55
-7.2|55
-7.1|56
-7.0|56
-6.9|57
-6.8|57
-6.7|58
-6.6|58
-6.5|59
-6.4|59
-6.3|60
-6.2|60
-6.1|61
-6.0|61
-5.9|62
-5.8|62
-5.7|63
-5.6|63
-5.5|64
-5.4|64
-5.3|65
-5.2|65
-5.1|66
-5.0|66
-4.9|67
-4.8|67
-4.7|68
-4.6|68
-4.5|69
-4.4|69
-4.3|70
-4.2|70
-4.1|71
-4.0|71
-3.9|72
-3.8|72
-3.7|72
-3.6|73
-3.5|73
-3.4|74
-3.3|74
-3.2|75
-3.1|75
-3.0|76
-2.9|76
-2.8|77
-2.7|77
-2.6|78
-2.5|78
-2.4|79
-2.3|79
-2.2|80
-2.1|80
-2.0|81
-1.9|81
-1.8|82
-1.7|82
-1.6|82
-1.5|83
-1.4|83
-1.3|84
-1.2|84
-1.1|85
-1.0|85
-0.9|86
-0.8|86
-0.7|87
-0.6|87
-0.5|88
-0.4|88
-0.3|89
-0.2|89
-0.1|90
0.0|90
0.1|90
0.2|91
0.3|91
0.4|92
0.5|92
0.6|93
0.7|93
0.8|94
0.9|94
1.0|95
1.1|95
1.2|96
1.3|96
1.4|97
1.5|97
1.6|98
1.7|98
1.8|98
1.9|99
2.0|99
2.1|100
2.2|100
2.3|101
2.4|101
2.5|102
2.6|102
2.7|103
2.8|103
2.9|104
3.0|104
3.1|105
3.2|105
3.3|106
3.4|106
3.5|107
3.6|107
3.7|108
3.8|108
3.9|108
4.0|109
4.1|109
4.2|110
4.3|110
4.4|111
4.5|111
4.6|112
4.7|112
4.8|113
4.9|113
5.0|114
5.1|114
5.2|115
5.3|115
5.4|116
5.5|116
5.6|117
5.7|117
5.8|118
5.9|118
6.0|119
6.1|119
6.2|120
6.3|120
6.4|121
6.5|122
6.6|122
6.7|123
6.8|124
6.9|124
7.0|125
7.1|126
7.2|126
7.3|127
7.4|128
7.5|128
7.6|129
7.7|130
7.8|130
7.9|131
8.0|132
8.1|132
8.2|133
8.3|134
8.4|134
8.5|135
8.6|136
8.7|136
8.8|137
8.9|138
9.0|138
9.1|139
9.2|140
9.3|141
9.4|141
9.5|142
9.6|143
9.7|143
9.8|144
9.9|145
10.0|145
10.1|145
10.2|145
10.3|146
10.4|146
10.5|146
10.6|146
10.7|146
10.8|146
10.9|147
11.0|147
11.1|147
11.2|147
11.3|147
11.4|147
11.5|147
11.6|148
11.7|148
11.8|148
11.9|148
12.0|148
12.1|149
12.2|149
12.3|149
12.4|149
12.5|149
12.6|149
12.7|150
12.8|150
12.9|150
13.0|150
13.1|151
13.2|151
13.3|151
13.4|152
13.5|152
13.6|153
13.7|153
13.8|153
13.9|154
14.0|154
14.1|155
14.2|155
14.3|156
14.4|156
14.5|157
14.6|157
14.7|158
14.8|158
14.9|159
