alpha|theta
-8.2|0.0
-8.1|3.93
-8.0|6.87
-7.9|9.34
-7.8|11.5
-7.7|13.46
-7.6|15.26
-7.5|16.94
-7.4|18.52
-7.3|20.01
-7.2|21.44
-7.1|22.81
-7.0|24.13
-6.9|25.39
-6.8|26.62
-6.7|27.82
-6.6|28.98
-6.5|30.1
-6.4|31.21
-6.3|32.28
-6.2|33.34
-6.1|34.37
-6.0|35.38
-5.9|36.38
-5.8|37.35
-5.7|38.31
-5.6|39.26
-5.5|40.19
-5.4|41.11
-5.3|42.02
-5.2|42.91
-5.1|43.8
-5.0|44.67
-4.9|45.53
-4.8|46.39
-4.7|47.23
-4.6|48.07
-4.5|48.9
-4.4|49.72
-4.3|50.53
-4.2|51.34
-4.1|52.14
-4.0|52.94
-3.9|53.72
-3.8|54.51
-3.7|55.28
-3.6|56.06
-3.5|56.82
-3.4|57.59
-3.3|58.34
-3.2|59.1
-3.1|59.85
-3.0|60.59
-2.9|61.34
-2.8|62.07
-2.7|62.81
-2.6|63.54
-2.5|64.27
-2.4|65.0
-2.3|65.72
-2.2|66.44
-2.1|67.16
-2.0|67.88
-1.9|68.59
-1.8|69.3
-1.7|70.01
-1.6|70.72
-1.5|71.43
-1.4|72.13
-1.3|72.84
-1.2|73.54
-1.1|74.24
-1.0|74.94
-0.9|75.64
-0.8|76.33
-0.7|77.03
-0.6|77.73
-0.5|78.42
-0.4|79.12
-0.3|79.81
-0.2|80.51
-0.1|81.2
0.0|81.9
0.1|82.59
0.2|83.28
0.3|83.98
0.4|84.67
0.5|85.37
0.6|86.06
0.7|86.76
0.8|87.46
0.9|88.15
1.0|88.85
1.1|89.55
1.2|90.25
1.3|90.96
1.4|91.66
1.5|92.36
1.6|93.07
1.7|93.78
1.8|94.49
1.9|95.2
2.0|95.91
2.1|96.63
2.2|97.35
2.3|98.07
2.4|98.79
2.5|99.52
2.6|100.25
2.7|100.98
2.8|101.72
2.9|102.45
3.0|103.2
3.1|103.94
3.2|104.69
3.3|105.45
3.4|106.2
3.5|106.97
3.6|107.73
3.7|108.51
3.8|109.28
3.9|110.07
4.0|110.86
4.1|111.65
4.2|112.45
4.3|113.26
4.4|114.07
4.5|114.89
4.6|115.72
4.7|116.56
4.8|117.4
4.9|118.26
5.0|119.12
5.1|120.0
5.2|120.88
5.3|121.77
5.4|122.68
5.5|123.6
5.6|124.53
5.7|125.48
5.8|126.44
5.9|127.42
6.0|128.41
6.1|129.42
6.2|130.45
6.3|131.51
6.4|132.59
6.5|133.69
6.6|134.82
6.7|135.98
6.8|137.17
6.9|138.4
7.0|139.67
7.1|140.98
7.2|142.35
7.3|143.78
7.4|145.27
7.5|146.85
7.6|148.53
7.7|150.33
7.8|152.29
7.9|154.45
8.0|156.92
8.1|159.86
8.2|163.79
